operation, n, work
remove, 312522, 312537
remove, 938739, 938756
remove, 721961, 721980
remove, 567875, 567893
remove, 965157, 965168
remove, 597754, 597770
remove, 998959, 998973
remove, 358228, 358245
remove, 219980, 219990
remove, 699636, 699648
remove, 447353, 447367
remove, 249586, 249601
remove, 995409, 995426
remove, 958576, 958592
remove, 132296, 132304
remove, 690415, 690431
remove, 424974, 424985
remove, 877328, 877345
remove, 440774, 440789
remove, 613545, 613555
