operation, n, work
remove, 237856, 713641
remove, 126384, 379213
remove, 643451, 1930426
remove, 360862, 1082643
remove, 120965, 362964
remove, 256762, 770363
remove, 954419, 2863370
remove, 615482, 1846515
remove, 730125, 2190440
remove, 310986, 933019
remove, 774591, 2323858
remove, 881347, 2644122
remove, 599864, 1799657
remove, 272441, 817404
remove, 821730, 2465259
remove, 758733, 2276252
remove, 839545, 2518708
remove, 214849, 644600
remove, 931971, 2795990
remove, 883490, 2650559
